District ,Crop,Crop_Year,Season,Area ,Production,Yield
RUPNAGAR,Urad,2012,Kharif     ,100,,0
S NAGAR,Urad,2006,Kharif     ,200,100,0.5
S NAGAR,Urad,2007,Kharif     ,300,200,0.67
S NAGAR,Urad,2008,Kharif     ,200,200,1
S NAGAR,Urad,2009,Kharif     ,200,200,1
S NAGAR,Urad,2010,Kharif     ,200,200,1
S NAGAR,Urad,2011,Kharif     ,200,100,0.5
S NAGAR,Urad,2012,Kharif     ,200,200,1
S NAGAR,Urad,2013,Kharif     ,200,110,0.55
S NAGAR,Urad,2014,Kharif     ,200,130,0.65
S NAGAR,Urad,2015,Kharif     ,200,150,0.75
S NAGAR,Urad,2016,Kharif     ,200,200,1
S NAGAR,Urad,2017,Kharif     ,200,100,0.5
S NAGAR,Urad,2018,Kharif     ,300,200,0.67
S NAGAR,Urad,2019,Kharif     ,300,300,1
SHAHID BHAGAT SINGH NAGAR,Urad,2003,Kharif     ,100,100,1
TARN TARAN,Urad,2006,Kharif     ,100,,0
TARN TARAN,Urad,2007,Kharif     ,100,,0
TARN TARAN,Urad,2008,Kharif     ,100,,0
TARN TARAN,Urad,2009,Kharif     ,100,,0
AMRITSAR,Wheat,1997,Rabi       ,349000,1318000,3.78
AMRITSAR,Wheat,1998,Rabi       ,214000,862000,4.03
AMRITSAR,Wheat,1999,Rabi       ,358000,1738000,4.85
AMRITSAR,Wheat,2000,Rabi       ,361000,1690000,4.68
AMRITSAR,Wheat,2001,Rabi       ,363000,1700000,4.68
AMRITSAR,Wheat,2002,Rabi       ,356000,1513000,4.25
